Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
FS110  05W FYS:  Around the World,W Herron,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  06W FYS: Into the Woods,S Farrell,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  07W FYS: Defusing Dangerous Designs,B Chihak,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  08W FYS:How to Bounce Back:Resilency,S Brown,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  09W FYS:Good Trouble:Rhetoric of Social,A Carr,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  10W FYS: Doing Good,J Chaimov,MWRF,11:00 AM,11:50 AM,Struve Comm Ctr,1
FS110  11W FYS: The Oil Titan,J Chen,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  12W FYS:What we are afraid of and Why,G Cross,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  13W FYS:Liberal Arts: A Sense of Place,B Nesmith,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  14W FYS:Coe 2121:ImaginingtheCollege,G Hausknecht,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  15W FYS:J.S.Bach&AlbertSchweitzer:Lives,B Wolgast,MWRF,11:00 AM,11:50 AM,Marquis Hall,1
FS110  16W FYS:TheJapaneseEconomicMiracle,D Nordmann,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  17W FYS:Living Life on Purpose,A Perry,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
"FS110  18W FYS:Know Yourself, Know Your Worth",C Johnson,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
"FS110  19W FYS:Money, Power, and Privilege",D Westberg,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  20W FYS: The Nobel Peace Prize,K Lanegran,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
